feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
Coq10a,Group,0.6286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1054,0.1446
Coq10b,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1336,0.1809
Coq2,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1072,0.1469
Coq3,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1213,0.1652
Coq4,Group,0.7714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1545,0.2073
Coq5,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.044,0.0621
Coq6,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0516,0.0725
Coq7,Group,0.7429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1094,0.1498
Coq9,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0666,0.0931
Corin,Group,0.1714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.3333,1.2224
Coro1a,Group,0.4,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8943,-0.1612
Coro1b,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1598,0.2139
Coro1c,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1333,0.1805
Coro2a,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.247,0.3184
Coro2b,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1334,0.1806
Coro6,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1197,0.1631
Coro7,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1093,0.1497
Cort,Group,0.2,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.6818,-0.5525
Cotl1,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0159,0.0227
Cox10,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.131,0.1776
Cox11,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0919,0.1268
Cox14,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.051,0.0717
Cox15,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1219,0.166
Cox16,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0492,0.0693
Cox17,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.062,0.0867
Cox18,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0451,0.0636
Cox19,Group,0.3429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9933,-0.0097
Cox20,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0206,0.0295
Cox4i1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0783,0.1087
Cox4i2,Group,0.7143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7143,-0.4854
Cox5a,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0367,0.052
Cox5b,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0137,0.0197
Cox6a1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0649,0.0907
Cox6a2,Group,0.4857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9762,-0.0348
Cox6b1,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0364,0.0516
Cox6b2,Group,0.8286,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.68,-0.5564
Cox6c,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0711,0.0991
Cox7a1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.14,0.189
Cox7a2,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0702,0.0978
Cox7a2l,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0759,0.1055
Cox7b,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0582,0.0816
