feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
0610005C13Rik,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.5625,1.3576
0610007P14Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1379,0.1864
0610009B22Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0609,0.0852
0610009L18Rik,Group,0.8286,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9494,-0.0749
0610009O20Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1109,0.1517
0610010F05Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1372,0.1855
0610010K14Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1748,0.2324
0610011F06Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0216,0.0309
0610012G03Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0583,0.0817
0610030E20Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0894,0.1235
0610037L13Rik,Group,0.6286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0621,0.0869
0610038B21Rik,Group,0.3143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2162,0.2824
0610039K10Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
0610040B10Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0101,0.0145
0610040J01Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.1,1.0704
0610043K17Rik,Group,0.6571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2727,0.3479
1010001N08Rik,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.3333,-1.585
1110001J03Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0311,0.0441
1110002L01Rik,Group,0.0571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.244,0.315
1110004E09Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1387,0.1874
1110004F10Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0569,0.0798
1110006O24Rik,Group,0.4,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8222,-0.2824
1110007C09Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1079,0.1479
1110008F13Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0529,0.0744
1110008L16Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1638,0.2189
1110008P14Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0749,0.1042
1110012L19Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0604,0.0846
1110017D15Rik,Group,0.8571,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.913,-0.1312
1110019D14Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.211,0.2762
1110020A21Rik,Group,0.4,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1579,0.2115
1110032A03Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0248,0.0353
1110034G24Rik,Group,0.1714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1908,0.2519
1110037F02Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2543,0.3269
1110038B12Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0902,0.1246
1110038F14Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0999,0.1374
1110046J04Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0814,0.1129
1110051M20Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1521,0.2043
1110059E24Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1589,0.2128
1110059G10Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1351,0.1828
1110065P20Rik,Group,0.8,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0316,0.0448
1190002F15Rik,Group,0.8857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9857,-0.0208
1190002N15Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2039,0.2677
1190005I06Rik,Group,0.8571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1190007I07Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0418,0.0591
1200014J11Rik,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.214,0.2798
1300002E11Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1933,0.255
1300017J02Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1500004A13Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.018,0.0257
1500009C09Rik,Group,0.6571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
1500009L16Rik,Group,0.8,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1228,0.1671
1500011B03Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0426,0.0602
1500011K16Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.075,0.1043
1500012F01Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0572,0.0803
1500012K07Rik,Group,0.5714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.4,0.4854
1500015A07Rik,Group,0.8857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8669,-0.206
1500015O10Rik,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.907,-0.1409
1500017E21Rik,Group,0.6286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2756,0.3511
1500026H17Rik,Group,0.8286,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.75,-0.415
1600002H07Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1071,0.1468
1600002K03Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0053,0.0077
1600012H06Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1149,0.157
1600014C10Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1528,0.2052
1600014C23Rik,Group,0.3143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.25,1.1699
1600020E01Rik,Group,0.8857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9666,-0.0491
1600023N17Rik,Group,0.4,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.4444,-1.1699
1600027J07Rik,Group,0.3143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.3871,-1.3692
1600029O15Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.5,0.585
1700001C19Rik,Group,0.1429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,6,2.585
1700001G11Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1818,0.241
1700001G17Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.35,0.433
1700001K19Rik,Group,0.3714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7059,-0.5025
1700001K23Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1111,0.152
1700001L05Rik,Group,0.0286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.6818,0.75
1700001L19Rik,Group,0.3714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2143,0.2801
1700001O22Rik,Group,0.1429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.6471,0.7199
1700001P01Rik,Group,0.3429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.6923,-0.5305
1700003E16Rik,Group,0.2286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1625,0.2172
1700003F12Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2179,0.2844
1700003G18Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1700003M02Rik,Group,0.9714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8333,-0.263
1700003M07Rik,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.6667,-0.585
1700006H21Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1700007G11Rik,Group,0.0857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
1700007J10Rik,Group,0.8857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9083,-0.1388
1700007K09Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,3,1.585
1700007K13Rik,Group,0.9714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9344,-0.0978
1700007L15Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1700008J07Rik,Group,0.3429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8354,-0.2594
1700008O03Rik,Group,0.2571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,5,2.3219
1700009N14Rik,Group,0.8571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2273,0.2955
1700010D01Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1700011A15Rik,Group,0.1429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1000,9.9658
1700011E24Rik,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.6667,-0.585
1700011I03Rik,Group,0.4571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.4375,0.5236
1700012B07Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.1667,1.1155
1700012B09Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0683,0.0953
1700012D01Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1122,0.1535
1700012D14Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.375,0.4594
1700012I11Rik,Group,0.7143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,4,2
1700013F07Rik,Group,0.5143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.25,0.3219
1700013G24Rik,Group,0.7714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8571,-0.2224
1700013H16Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.75,0.8074
1700015F17Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.5,0.585
1700016D06Rik,Group,0.8,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8667,-0.2065
1700016L04Rik,Group,0.7143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.25,-2
1700017B05Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1522,0.2044
1700018A04Rik,Group,0.2857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3784,0.463
1700018C11Rik,Group,0.9143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3333,0.415
1700018L02Rik,Group,0.6286,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.75,-0.415
1700019A02Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1700019B03Rik,Group,0.2571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,5,2.3219
1700019D03Rik,Group,0.7429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.25,0.3219
1700019G17Rik,Group,0.6571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0714,0.0995
1700019G24Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,3,1.585
1700019L03Rik,Group,0.8857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9186,-0.1225
1700020A23Rik,Group,0.5714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7,-0.5146
1700020D05Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.375,0.4594
1700020I14Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1326,0.1796
1700020L24Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1663,0.2219
1700020N01Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1700021F05Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0655,0.0915
1700021K19Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.125,0.17
1700022H01Rik,Group,0.7143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.6667,-0.585
1700022H16Rik,Group,0.7143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,3,1.585
1700022I11Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3333,0.415
1700023C21Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
1700023F06Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
1700024P16Rik,Group,0.6286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1053,0.1444
1700025F24Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1700025G04Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2293,0.2978
1700026D08Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1238,0.1684
1700026J14Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1700026L06Rik,Group,0.5714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.5909,0.6699
1700027A15Rik,Group,0.7143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,3,1.585
1700028E10Rik,Group,0.7143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7778,-0.3626
1700028I16Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3125,0.3923
1700028J19Rik,Group,0.0857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.381,0.4657
1700028K03Rik,Group,0.2571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.6667,0.737
1700029I15Rik,Group,0.2571,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7742,-0.3692
1700029J03Rik,Group,0.4571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1944,0.2563
1700029J07Rik,Group,0.8,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1479,0.199
1700030F04Rik,Group,0.3143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.5556,-0.848
1700030F18Rik,Group,0.2286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.5556,0.6374
1700030J22Rik,Group,0.3714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2308,0.2996
1700030K09Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1487,0.2
1700031A10Rik,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3846,0.4695
1700034E13Rik,Group,0.4,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.4286,0.5146
1700034H15Rik,Group,0.7143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.5,0.585
1700034P13Rik,Group,0.7714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7778,-0.3626
1700037C18Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0165,0.0236
1700037H04Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1537,0.2063
1700042O10Rik,Group,0.6857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7,-0.5146
1700048M11Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0408,0.0577
1700048O20Rik,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8,-0.3219
1700049G17Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1583,0.212
1700052K11Rik,Group,0.0571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1851,0.245
1700056E22Rik,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2955,0.3735
1700061G19Rik,Group,0.9714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0217,0.031
1700061I17Rik,Group,0.6571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.5,1.3219
1700063D05Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1700065J18Rik,Group,0.8286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0435,0.0614
1700066B19Rik,Group,0.3429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.5,-1
1700066M21Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1899,0.2508
1700067K01Rik,Group,0.2286,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7887,-0.3424
1700071M16Rik,Group,0.3429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.4,-1.3219
1700084E18Rik,Group,0.4571,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.6957,-0.5236
1700086L19Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
1700086O06Rik,Group,0.7429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8101,-0.3038
1700088E04Rik,Group,0.3143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1511,0.203
1700092C10Rik,Group,0.8286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.25,0.3219
1700092M07Rik,Group,0.2857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.5385,-0.8931
1700093K21Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3538,0.437
1700094D03Rik,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1793,0.2379
1700096K18Rik,Group,0.2286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2326,0.3017
1700101E01Rik,Group,0.4,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7222,-0.4695
1700101I11Rik,Group,0.9714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.973,-0.0395
1700102H20Rik,Group,0.9714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1111,0.152
1700102P08Rik,Group,0.2,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8254,-0.2768
1700105P06Rik,Group,0.9143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.25,0.3219
1700108F19Rik,Group,0.6571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1471,0.1979
1700109G14Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
1700109H08Rik,Group,0.7429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9545,-0.0671
1700109K24Rik,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9909,-0.0132
1700110C19Rik,Group,0.4286,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.5455,-0.8745
1700112E06Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0879,0.1216
1700112H15Rik,Group,0.7429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8571,-0.2224
1700112J16Rik,Group,0.5143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.6471,-0.628
1700113A16Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1013,0.1392
1700116B05Rik,Group,0.1429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
1700119H24Rik,Group,0.7429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.75,-0.415
1700120C14Rik,Group,0.0286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.5,1.3219
1700120K04Rik,Group,0.0571,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.6275,-0.6724
1700123M08Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0115,0.0165
1700123O20Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0491,0.0691
1700124L16Rik,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9167,-0.1255
1700125H03Rik,Group,0.3143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.4375,0.5236
1810008I18Rik,Group,0.7429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.75,-0.415
1810009A15Rik,Group,0.6571,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.5,-1
1810010H24Rik,Group,0.0857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2804,0.3566
1810011O10Rik,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1121,0.1533
1810012K16Rik,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8,-0.3219
1810013L24Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0747,0.1039
1810014B01Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0112,0.016
1810019D21Rik,Group,0.5714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.4,0.4854
1810020O05Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1810021B22Rik,Group,0.8571,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9859,-0.0205
1810022K09Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1009,0.1387
1810024B03Rik,Group,0.6286,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9455,-0.0809
1810026B05Rik,Group,0.0571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1953,0.2573
1810026J23Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0619,0.0866
1810030O07Rik,Group,0.0286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1946,0.2566
1810032O08Rik,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0523,0.0736
1810034E14Rik,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1121,0.1533
1810037I17Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1133,0.1549
1810041H14Rik,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
1810041L15Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.4089,0.4946
1810043G02Rik,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1488,0.2002
